date,virus_batch,library,sample_type,antibody,antibody_concentration,replicate,fastq_R1,exclude_after_counts,notes
2022-03-14,thaw-3,Lib-2,no-antibody_control,,,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/230213_VH01189_64_AAAYVG7HV/Unaligned/Project_bdadonai/BA1_1_S1_R1_001.fastq.gz,,
2022-03-14,thaw-3,Lib-3,no-antibody_control,,,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/230213_VH01189_64_AAAYVG7HV/Unaligned/Project_bdadonai/BA1_8_S8_R1_001.fastq.gz,,
2022-03-14,thaw-3,Lib-2,antibody,COV2-2130,50,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/230213_VH01189_64_AAAYVG7HV/Unaligned/Project_bdadonai/BA1_2_S2_R1_001.fastq.gz,,
2022-03-14,thaw-3,Lib-2,antibody,COV2-2130,200,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/230213_VH01189_64_AAAYVG7HV/Unaligned/Project_bdadonai/BA1_3_S3_R1_001.fastq.gz,,
2022-03-14,thaw-3,Lib-2,antibody,COV2-2130,400,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/230213_VH01189_64_AAAYVG7HV/Unaligned/Project_bdadonai/BA1_4_S4_R1_001.fastq.gz,,
2022-03-14,thaw-3,Lib-2,antibody,2130-1-0114-112,0.159896,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/230213_VH01189_64_AAAYVG7HV/Unaligned/Project_bdadonai/BA1_5_S5_R1_001.fastq.gz,,
2022-03-14,thaw-3,Lib-2,antibody,2130-1-0114-112,0.79948,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/230213_VH01189_64_AAAYVG7HV/Unaligned/Project_bdadonai/BA1_6_S6_R1_001.fastq.gz,,
2022-03-14,thaw-3,Lib-2,antibody,2130-1-0114-112,3.9974,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/230213_VH01189_64_AAAYVG7HV/Unaligned/Project_bdadonai/BA1_7_S7_R1_001.fastq.gz,,
2022-03-14,thaw-3,Lib-3,antibody,COV2-2130,50,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/230213_VH01189_64_AAAYVG7HV/Unaligned/Project_bdadonai/BA1_9_S9_R1_001.fastq.gz,,
2022-03-14,thaw-3,Lib-3,antibody,COV2-2130,200,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/230213_VH01189_64_AAAYVG7HV/Unaligned/Project_bdadonai/BA1_10_S10_R1_001.fastq.gz,,
2022-03-14,thaw-3,Lib-3,antibody,COV2-2130,400,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/230213_VH01189_64_AAAYVG7HV/Unaligned/Project_bdadonai/BA1_11_S11_R1_001.fastq.gz,,
2022-03-14,thaw-3,Lib-3,antibody,2130-1-0114-112,0.159896,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/230213_VH01189_64_AAAYVG7HV/Unaligned/Project_bdadonai/BA1_12_S12_R1_001.fastq.gz,,
2022-03-14,thaw-3,Lib-3,antibody,2130-1-0114-112,0.79948,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/230213_VH01189_64_AAAYVG7HV/Unaligned/Project_bdadonai/BA1_13_S13_R1_001.fastq.gz,,
2022-03-14,thaw-3,Lib-3,antibody,2130-1-0114-112,3.9974,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/230213_VH01189_64_AAAYVG7HV/Unaligned/Project_bdadonai/BA1_14_S14_R1_001.fastq.gz,,